PM2.5,PM10,NO2,SO2,CO,Temperature,Humidity,AQI
350.48,583.03,77.85,35.16,5.62,14.27,42.23,477.49
36.38,46.89,45.78,90.95,5.53,27.84,74.42,113.36
410.93,600.0,119.37,56.9,1.15,30.48,37.24,500.0
353.12,511.59,185.64,76.22,1.26,22.58,20.07,397.72
40.67,46.94,185.83,81.18,5.3,26.64,73.64,120.02
42.42,48.4,68.38,34.18,2.69,22.72,32.84,117.29
493.32,600.0,105.54,43.37,0.21,32.44,27.84,496.9
187.14,308.67,42.33,84.85,7.23,41.54,37.81,237.79
185.32,295.66,199.13,36.33,0.32,15.74,48.49,234.45
406.4,600.0,196.22,79.39,5.95,23.35,55.69,500.0
473.62,600.0,129.9,94.1,5.39,14.93,23.34,496.62
493.0,600.0,160.88,62.32,9.69,31.87,92.79,500.0
376.69,453.24,143.02,74.16,4.84,35.51,73.7,404.65
188.13,250.16,118.63,80.51,0.64,42.62,44.24,248.25
41.75,58.61,10.67,84.5,5.52,19.76,43.9,117.26
388.57,451.53,90.95,39.51,8.41,43.26,53.64,415.26
279.2,350.24,134.96,5.13,9.97,12.21,66.97,323.09
212.11,322.15,135.51,40.19,4.3,31.11,30.98,259.94
453.18,600.0,74.62,67.38,3.2,12.0,34.17,496.14
55.6,100.01,188.34,45.04,9.07,41.28,84.46,157.67
246.31,431.83,33.47,74.9,1.91,28.54,39.22,303.52
5.68,8.8,100.07,35.7,6.15,33.43,48.51,64.73
234.33,326.86,138.18,63.47,4.06,39.11,85.35,288.13
28.15,43.5,139.43,18.64,0.41,15.26,69.74,109.3
59.41,98.02,129.73,74.94,3.47,11.35,45.63,149.94
58.76,69.51,55.06,54.57,2.65,40.76,71.28,160.87
324.61,450.21,31.24,20.41,6.86,21.02,21.48,352.95
373.02,600.0,127.19,29.19,9.49,14.51,75.17,499.07
291.68,399.22,119.86,74.86,2.68,26.4,56.53,338.51
481.09,600.0,35.87,48.26,8.11,30.94,80.99,500.0
187.44,283.3,141.03,21.6,0.55,11.08,91.6,241.89
142.86,175.59,91.03,96.73,5.38,19.62,89.43,204.37
434.3,587.85,133.55,71.51,0.71,11.15,88.19,486.19
111.8,149.16,167.47,95.71,9.34,24.71,58.41,180.62
481.61,538.6,33.95,42.71,7.66,41.33,47.01,486.8
6.08,6.79,3.83,47.51,6.58,44.39,54.88,70.31
484.94,600.0,155.82,89.8,8.24,32.3,71.74,500.0
21.58,27.86,121.94,52.5,6.48,15.66,86.3,109.39
445.57,600.0,139.93,70.73,9.69,41.7,35.52,500.0
263.85,345.41,167.63,25.22,7.14,28.07,88.86,317.54
496.48,600.0,160.56,44.67,9.25,15.38,81.14,500.0
36.9,47.29,192.18,12.34,5.17,42.26,93.41,123.54
276.93,387.91,107.19,20.6,1.17,36.51,86.02,330.58
484.65,600.0,97.7,0.09,5.28,35.61,41.0,499.45
261.55,441.85,80.38,3.93,1.27,34.82,27.95,320.16
314.7,387.17,30.74,97.73,5.92,17.01,28.42,349.26
347.87,578.12,114.52,24.24,4.82,17.39,41.84,476.81
227.27,322.89,55.4,66.33,6.23,34.09,66.06,282.48
313.78,451.24,184.26,83.91,0.1,17.69,80.32,350.17
292.16,348.67,116.64,55.07,1.95,25.35,87.44,335.05
450.58,521.06,118.57,15.31,4.91,37.37,66.78,465.56
22.72,36.57,70.98,72.81,9.51,37.44,20.42,99.83
140.48,203.35,10.4,60.03,3.84,25.86,33.97,192.27
475.21,600.0,6.35,73.13,4.24,37.73,27.48,500.0
445.13,600.0,84.67,76.97,7.15,39.35,47.25,500.0
227.83,372.7,16.91,97.54,6.04,32.92,57.6,279.71
310.07,375.56,121.37,57.36,2.99,17.99,23.25,346.73
138.69,211.8,176.19,34.16,4.11,19.59,46.14,191.82
94.06,112.38,176.58,64.85,2.18,21.02,33.44,172.58
231.85,376.98,131.81,6.84,9.66,14.09,68.53,279.86
176.68,275.59,42.25,89.74,1.31,19.56,54.82,228.25
291.83,516.43,172.6,11.94,3.72,17.33,57.15,408.12
38.87,44.63,177.22,32.78,0.26,25.94,52.08,112.32
487.2,555.37,39.33,81.57,2.22,41.8,91.7,495.62
493.11,600.0,147.49,59.73,7.8,13.66,36.11,499.76
349.08,447.94,57.3,39.36,2.01,35.21,58.75,384.93
268.05,341.19,160.53,47.34,0.8,34.05,75.2,318.45
154.76,268.42,199.45,85.45,4.74,13.35,61.76,202.82
406.9,518.67,6.01,34.0,0.1,42.29,89.68,434.69
342.37,441.78,179.47,86.96,0.85,29.9,48.35,377.8
81.31,132.66,124.53,8.81,8.08,22.73,54.78,161.55
455.46,600.0,194.68,77.68,7.71,36.48,26.64,496.38
411.27,600.0,93.0,84.75,9.15,19.01,65.67,500.0
474.9,544.12,169.48,18.18,8.55,34.27,41.62,482.11
362.86,522.99,12.48,43.03,6.83,11.39,32.02,407.84
306.71,344.6,67.06,16.55,0.52,39.38,60.84,350.77
209.12,239.21,13.4,70.66,7.83,25.69,59.92,258.41
466.36,600.0,195.07,53.53,8.46,32.28,25.69,493.37
433.03,518.54,163.39,63.53,7.99,17.74,72.37,446.67
22.61,33.3,170.51,19.65,5.08,33.7,66.78,117.29
13.18,18.3,187.59,21.17,2.33,37.03,34.18,116.91
188.23,252.82,17.02,4.15,8.45,26.56,55.21,236.25
405.28,600.0,77.12,32.21,7.27,31.62,74.02,498.86
493.64,550.54,14.21,55.97,9.81,25.97,59.71,494.76
75.21,117.68,42.16,85.79,1.56,41.29,49.66,165.83
297.07,527.11,45.87,66.69,2.26,27.43,44.18,420.03
190.45,284.17,93.82,43.54,2.12,39.46,65.78,247.3
484.96,600.0,53.71,95.31,7.93,38.05,90.43,500.0
421.06,478.57,20.2,71.92,1.87,24.37,70.38,436.1
419.16,583.96,33.5,93.02,0.67,18.05,25.61,479.52
234.35,300.46,29.46,52.76,9.99,24.21,54.55,286.02
207.41,334.26,194.62,25.89,0.25,38.92,86.81,264.17
136.7,244.28,151.86,5.28,8.35,17.97,27.08,184.55
28.19,36.07,193.55,72.61,3.65,28.36,94.17,121.26
432.36,600.0,87.95,12.13,8.42,38.21,91.18,500.0
406.45,503.46,55.67,30.28,5.55,22.37,25.87,423.8
499.86,600.0,159.66,53.25,9.02,32.48,90.01,500.0
498.32,600.0,65.25,56.44,9.26,18.6,47.23,499.12
277.72,494.45,59.88,60.06,0.09,13.82,83.35,382.46
384.49,586.73,46.5,16.63,0.75,37.8,51.38,487.18
472.38,600.0,25.94,37.97,2.5,13.46,53.06,500.0
424.82,501.24,51.29,61.72,6.69,19.5,67.57,441.75
123.67,149.14,71.06,96.98,8.88,39.93,78.09,191.41
225.27,283.33,134.8,72.76,4.6,22.13,22.53,271.25
64.58,82.38,12.51,92.26,6.07,44.06,64.49,160.2
477.03,600.0,42.1,76.22,1.88,44.29,34.0,500.0
303.09,452.47,161.8,59.17,8.05,19.39,45.95,342.37
114.32,167.64,29.38,19.2,9.67,11.43,46.1,179.9
335.85,396.42,68.53,66.67,2.69,34.68,55.18,374.4
309.06,526.06,172.93,62.34,4.95,25.78,45.06,416.2
179.08,287.6,30.99,60.25,0.86,13.53,28.05,223.79
56.78,65.15,16.55,48.98,5.59,34.76,30.92,153.43
335.79,535.74,96.91,52.87,5.03,11.09,22.51,418.68
260.15,385.15,60.48,33.44,1.44,40.46,55.27,308.84
386.16,446.87,112.68,51.93,4.42,14.85,91.58,412.68
260.08,369.53,160.76,19.76,3.34,14.46,28.68,306.22
426.09,600.0,27.43,80.52,5.22,16.15,90.97,499.66
275.95,335.57,116.14,18.58,5.86,43.61,75.0,325.64
280.47,494.18,101.1,8.5,0.08,34.26,67.81,381.33
438.33,600.0,28.82,43.62,7.61,38.05,68.4,500.0
201.74,316.39,124.8,65.83,7.13,23.92,82.0,257.18
67.01,95.39,54.73,43.77,3.66,21.77,28.02,156.03
14.39,19.98,97.57,27.68,0.53,18.21,57.86,97.13
377.57,587.38,16.45,55.82,7.55,26.82,72.28,486.78
310.15,459.59,91.92,34.7,9.55,29.31,64.01,347.25
352.04,402.59,61.29,93.29,2.4,32.11,82.46,389.85
106.48,155.33,164.48,92.26,3.24,19.0,25.42,175.45
68.19,113.49,11.4,50.24,1.84,43.2,71.8,160.69
7.27,10.34,83.72,32.79,5.77,15.94,60.05,84.11
175.29,199.2,91.69,73.71,1.55,43.8,48.44,228.06
294.96,486.8,145.0,3.67,3.56,10.52,45.52,367.94
196.12,243.38,114.86,47.48,6.97,26.84,66.56,249.23
218.74,280.21,133.44,33.63,5.6,21.67,86.82,269.95
452.08,549.41,155.41,92.05,3.86,25.72,57.21,461.75
174.13,231.79,172.44,1.2,4.2,29.97,81.85,228.65
256.99,418.83,62.78,55.28,5.62,25.25,50.16,304.98
391.83,573.47,107.6,74.07,0.06,24.52,27.68,469.2
198.27,246.53,168.02,48.5,0.79,35.65,24.61,252.07
311.04,533.28,197.89,8.54,8.81,34.01,23.85,420.98
431.18,600.0,177.9,97.25,0.78,39.16,48.51,497.81
474.76,600.0,74.29,51.8,7.07,18.75,45.29,493.59
73.54,93.18,39.03,61.42,9.2,31.33,73.85,163.27
463.29,600.0,97.88,23.66,2.71,30.48,75.71,500.0
246.06,440.32,148.33,48.35,3.7,22.94,23.81,316.01
129.12,211.81,98.51,42.91,5.69,27.01,36.58,188.31
229.57,256.89,96.64,7.49,8.82,20.98,40.57,273.8
490.02,561.38,167.65,10.62,9.42,14.96,61.07,487.1
246.31,350.93,72.28,83.75,7.4,17.48,30.84,293.64
164.38,285.43,171.96,23.98,0.87,13.69,30.05,211.4
316.7,467.8,81.36,19.5,6.69,33.91,90.78,358.15
120.07,173.92,65.65,50.49,4.1,33.13,80.32,184.45
37.93,44.53,90.8,76.87,4.71,43.27,33.55,109.26
64.44,100.51,152.49,6.19,0.49,35.54,50.49,160.43
64.02,107.27,25.2,57.68,1.91,11.82,46.67,153.79
75.95,103.77,39.28,11.92,7.91,40.95,79.33,164.77
69.41,114.04,190.29,3.65,4.54,40.19,58.27,161.4
320.44,568.82,35.1,5.27,3.02,25.52,29.59,459.16
90.94,113.01,113.55,83.42,3.84,30.51,75.42,175.31
172.83,253.43,115.86,11.8,8.54,44.16,49.77,226.19
448.39,583.36,97.92,4.52,7.49,28.63,39.72,476.17
236.98,392.2,128.95,43.79,2.72,41.69,48.16,288.27
333.78,502.11,45.97,84.4,1.18,12.91,57.33,388.76
86.16,133.05,110.53,26.24,2.52,16.69,45.73,164.32
96.14,159.46,74.43,42.17,9.21,25.43,38.14,170.17
20.43,28.14,132.33,3.99,5.82,30.47,49.89,104.68
84.47,147.02,28.24,44.91,5.33,38.57,21.44,166.55
139.3,205.2,114.18,57.76,5.96,44.59,77.94,198.38
88.51,107.14,37.05,57.09,3.66,23.61,32.82,160.72
44.35,70.39,55.73,33.24,8.07,11.66,23.29,117.19
60.32,99.84,43.74,31.55,5.23,38.04,69.03,159.8
230.39,304.51,36.57,10.66,1.17,31.15,78.05,282.93
103.17,175.39,165.14,36.68,1.29,16.95,81.04,181.85
182.13,315.88,57.14,9.95,5.37,27.32,57.01,234.47
251.71,325.67,185.42,76.66,9.37,35.98,35.4,303.0
345.2,600.0,193.99,96.63,3.08,36.96,75.29,500.0
19.66,23.56,114.25,97.01,8.7,27.49,72.48,112.89
399.71,496.2,28.6,86.51,7.64,20.68,38.47,417.55
313.95,385.83,74.91,60.08,2.48,44.08,87.76,357.49
40.88,70.55,159.55,70.09,0.36,33.22,27.83,114.59
436.79,600.0,73.48,28.52,1.02,24.29,93.7,500.0
460.44,555.5,17.4,63.08,7.28,19.82,84.52,468.43
30.54,43.01,111.36,45.56,2.0,35.59,71.59,103.9
138.44,211.91,169.02,48.2,3.71,18.48,90.41,202.0
403.1,466.96,159.19,75.78,5.02,16.01,74.17,425.11
374.13,600.0,35.02,28.19,7.25,28.54,34.28,499.72
92.26,153.39,134.55,31.8,1.13,20.15,53.16,166.93
104.67,152.16,44.1,92.46,4.06,32.01,25.36,176.54
185.24,329.16,43.64,5.62,4.85,14.13,49.22,233.42
242.26,337.33,174.81,48.56,5.41,32.92,75.62,296.22
309.13,552.99,49.93,91.28,8.18,19.92,48.98,443.24
184.46,289.14,52.65,61.04,1.72,10.01,44.77,232.28
231.27,357.14,0.13,54.64,8.08,14.44,64.65,279.86
373.74,454.53,174.13,24.97,6.93,42.68,85.42,403.57
18.34,31.5,158.52,34.33,5.56,40.36,23.57,113.38
126.22,176.61,125.47,85.2,7.0,18.18,48.91,182.54
356.67,432.85,150.05,55.92,4.12,37.24,31.87,387.12
447.6,496.31,30.41,51.47,1.38,31.3,72.15,463.08
255.84,381.67,91.66,9.96,6.66,43.98,27.93,303.7
266.06,390.89,70.24,1.6,5.25,23.08,69.86,313.05
53.59,85.93,18.76,96.37,6.39,33.85,41.46,145.45
223.71,385.49,97.23,37.7,3.38,12.22,34.92,270.83
266.31,307.74,184.15,60.32,9.07,23.87,90.23,317.08
121.24,195.44,8.01,7.97,5.87,43.73,21.39,185.97
134.62,165.74,58.29,68.31,0.85,28.86,52.83,197.12
188.64,320.83,41.51,93.26,4.5,20.08,21.62,233.95
10.04,16.79,47.63,57.57,7.56,14.21,56.27,76.36
161.04,238.11,181.69,12.61,7.94,34.62,57.58,215.71
105.72,168.86,93.61,58.17,4.95,32.57,44.12,181.69
163.75,216.16,93.26,76.63,8.95,23.09,29.91,212.82
59.88,85.62,152.12,40.64,2.68,43.28,48.23,153.11
445.26,600.0,30.9,87.98,4.11,10.78,70.42,499.6
296.8,421.89,97.45,64.87,8.99,20.63,78.68,337.34
339.55,458.55,86.0,89.92,8.96,42.24,59.81,377.2
394.59,570.55,119.38,62.35,6.86,21.23,64.24,463.99
249.22,418.64,199.91,13.13,8.59,18.83,35.05,295.66
43.46,58.0,153.89,30.97,0.89,28.7,41.55,117.8
268.55,328.07,79.57,20.18,8.65,38.83,32.14,316.01
293.42,469.01,165.51,90.88,3.21,13.61,38.7,347.29
372.72,600.0,34.14,76.04,1.78,43.01,36.87,500.0
215.83,252.62,6.09,67.64,2.39,37.83,58.96,268.62
63.79,80.88,40.89,30.1,4.18,16.34,62.2,152.74
141.89,170.18,68.08,18.4,2.51,34.92,90.87,202.75
181.54,243.91,102.12,75.65,3.21,23.47,34.67,229.88
322.96,457.07,123.03,47.42,1.35,24.08,68.13,358.0
285.39,463.52,182.12,22.58,2.96,37.42,81.29,355.4
178.05,277.01,101.97,61.66,5.72,43.7,62.02,233.5
493.26,600.0,100.26,4.03,4.42,14.43,39.13,496.94
302.89,407.89,10.05,32.62,3.47,24.72,39.69,345.25
118.61,200.34,6.98,46.86,7.46,26.83,22.94,185.76
50.89,72.77,110.23,14.8,8.94,23.17,42.91,137.55
76.43,136.46,87.64,98.47,7.57,22.71,75.85,164.92
122.98,189.87,167.84,20.91,3.32,11.83,23.56,178.75
80.34,95.48,32.14,13.04,7.44,33.99,36.45,163.45
93.28,146.77,4.99,20.35,1.52,25.27,72.97,172.35
142.55,189.24,89.81,76.91,1.3,16.82,78.7,198.05
86.69,137.0,47.5,42.55,3.46,38.56,54.15,170.38
448.38,515.08,9.92,56.54,8.08,38.09,72.36,464.43
40.12,49.04,144.92,2.1,2.46,27.02,49.1,113.18
262.26,445.58,22.32,3.44,0.63,20.45,31.99,318.89
205.2,258.35,121.66,44.58,1.32,32.33,49.86,253.95
491.19,600.0,56.21,81.67,8.59,20.09,63.5,499.25
56.02,72.57,34.7,88.52,6.34,18.26,91.1,153.66
198.93,308.34,75.95,8.67,2.53,35.57,25.16,250.72
484.74,600.0,160.29,53.84,5.55,11.41,58.05,495.86
432.75,600.0,78.42,91.32,5.28,13.32,44.67,496.82
408.54,536.7,150.15,38.8,6.55,10.24,58.12,429.0
128.95,161.04,25.1,82.96,2.33,15.35,21.8,183.91
85.44,95.97,154.55,13.37,8.64,12.41,43.48,165.07
334.32,438.88,47.39,93.54,3.09,44.85,81.49,373.63
464.69,600.0,135.48,75.14,6.94,20.11,61.55,500.0
278.38,489.06,113.16,94.13,0.16,15.22,53.79,372.19
285.81,488.68,185.83,67.66,3.73,18.43,41.41,373.24
139.99,229.06,77.46,36.34,3.52,42.76,42.35,192.66
384.75,600.0,13.23,93.82,5.43,28.21,48.73,499.45
93.52,146.41,3.83,27.56,0.73,22.77,82.67,174.31
161.84,207.51,165.37,33.22,7.9,40.57,92.54,220.16
212.72,369.07,104.95,70.08,2.18,23.82,52.9,266.5
253.81,398.35,155.05,76.53,6.77,21.73,49.5,302.12
121.2,180.88,46.89,92.94,8.03,17.25,83.49,190.81
57.42,67.62,69.02,20.48,5.62,23.22,52.02,150.28
305.31,431.38,6.02,79.8,7.41,21.08,61.4,348.59
144.32,205.25,192.3,73.85,6.62,33.71,37.32,198.94
290.62,495.56,133.57,6.38,3.56,20.14,75.76,380.8
77.18,114.43,186.64,38.72,8.09,30.2,59.9,164.73
240.57,328.69,53.1,28.28,2.95,12.31,80.68,291.29
266.29,475.01,122.29,30.45,5.71,16.7,78.55,361.04
25.91,30.51,135.7,98.29,7.45,24.26,36.13,108.97
168.3,234.91,63.51,64.28,3.79,42.79,73.67,222.91
67.21,75.91,169.62,71.77,3.03,23.2,80.0,163.2
31.69,51.27,189.43,97.66,4.59,33.24,45.96,118.32
494.98,600.0,176.97,37.72,8.18,18.93,32.95,499.45
161.18,208.89,147.81,80.18,9.3,14.45,20.2,206.45
404.94,600.0,55.49,43.45,5.45,12.05,53.82,500.0
127.32,166.1,56.32,86.95,6.61,20.69,46.43,185.38
340.75,592.07,192.67,18.07,9.03,15.52,61.62,489.19
380.11,600.0,2.06,94.77,0.99,16.09,34.1,500.0
297.82,495.4,143.21,21.88,2.32,36.63,84.47,385.14
235.79,262.34,141.25,32.62,7.09,10.55,39.33,286.29
205.92,365.3,124.54,75.62,8.24,29.52,36.98,257.53
174.43,280.61,198.02,39.38,8.57,23.28,56.05,224.68
464.76,600.0,62.38,60.82,4.15,27.73,57.41,496.62
415.31,600.0,67.99,44.46,0.89,29.7,36.13,499.27
482.51,600.0,15.79,74.24,4.38,20.97,40.39,498.69
62.15,106.33,88.56,22.83,2.31,20.33,32.73,154.92
365.43,430.78,52.21,5.85,2.91,35.67,73.88,400.63
469.17,600.0,68.68,29.99,7.72,40.49,77.76,500.0
90.62,133.98,166.91,47.43,0.76,16.74,54.67,170.36
33.25,38.82,187.1,16.8,8.28,13.42,73.56,119.82
370.56,470.36,37.15,35.48,4.28,41.42,75.2,404.43
287.24,318.45,74.5,40.0,5.96,22.25,30.37,329.17
420.91,600.0,185.73,5.74,0.9,29.3,92.46,500.0
69.89,91.61,12.36,58.33,3.37,22.58,81.58,160.83
397.63,600.0,18.47,88.43,0.9,14.4,35.34,494.05
100.81,131.87,32.56,15.17,9.62,30.63,33.96,173.13
81.83,107.19,119.04,59.78,8.07,28.38,29.42,165.49
82.13,133.07,30.09,66.47,4.6,17.1,30.38,162.37
407.29,461.74,193.62,41.93,2.24,25.82,76.11,431.66
332.6,576.07,89.34,70.11,9.33,37.89,55.22,476.1
261.53,443.71,100.3,41.07,3.45,30.66,78.72,322.75
179.42,281.23,49.33,50.46,1.61,13.39,75.97,224.21
438.6,600.0,94.19,0.74,5.63,29.18,65.35,500.0
196.22,338.41,132.38,69.17,9.44,34.6,71.48,249.36
408.3,502.1,150.24,66.13,0.04,37.74,21.38,423.47
219.57,253.66,150.77,3.84,2.38,32.02,43.38,265.58
188.47,238.92,115.58,36.83,9.38,15.34,67.84,237.13
231.34,383.15,180.87,97.9,1.71,34.86,20.7,279.17
150.69,169.41,163.48,42.07,1.13,33.71,22.47,201.41
373.8,563.68,151.41,50.19,5.7,10.85,83.89,460.44
251.36,451.65,11.12,90.99,8.62,24.41,71.3,337.36
116.11,197.26,1.38,71.73,4.77,21.65,39.9,178.19
449.79,600.0,42.49,58.21,9.95,33.43,71.6,500.0
191.95,219.69,132.7,79.78,6.79,17.56,79.43,244.02
271.78,457.12,82.24,86.44,0.74,30.68,43.01,339.41
453.24,600.0,80.48,45.69,9.93,41.96,22.7,498.72
312.12,368.44,176.92,47.51,4.08,37.92,89.96,358.76
58.45,68.13,179.11,38.61,2.87,42.25,45.89,155.44
469.92,600.0,181.84,96.67,5.58,44.25,27.99,498.99
313.85,492.26,62.78,69.72,3.04,10.37,56.89,375.95
167.45,281.4,138.21,8.32,0.86,31.8,77.64,220.98
69.64,119.45,54.33,86.3,0.01,24.45,36.62,158.1
397.01,595.61,38.12,48.06,4.5,40.09,40.21,493.35
310.04,453.34,36.93,6.88,8.37,18.81,38.2,346.3
266.73,373.77,68.42,54.97,5.72,44.34,94.38,322.27
446.95,590.8,85.99,41.72,9.99,31.48,34.81,489.08
394.3,553.68,166.19,87.77,2.87,37.77,63.16,453.93
75.84,124.5,23.98,20.4,2.8,13.0,89.39,165.57
155.86,237.12,146.99,82.65,1.6,16.42,31.02,203.11
124.24,214.29,106.29,55.77,1.64,36.54,92.81,193.05
371.97,524.62,57.59,5.46,2.85,10.77,91.06,416.99
16.77,25.57,98.56,97.18,7.93,38.59,86.34,117.2
284.94,439.36,59.99,51.26,9.06,10.49,36.09,320.34
381.23,577.25,119.22,29.09,9.75,33.0,67.55,476.33
438.38,600.0,86.77,46.94,2.32,22.78,77.07,498.66
171.04,216.57,32.88,85.79,8.81,31.4,93.95,229.91
410.63,598.97,23.32,30.49,3.28,34.36,33.53,498.43
55.32,64.88,109.34,19.27,1.13,21.99,77.45,151.6
423.23,579.46,180.48,12.91,8.7,13.78,45.41,476.75
63.74,91.88,68.79,29.79,6.36,12.44,33.17,152.75
198.64,309.2,146.6,78.0,1.65,30.61,51.6,246.89
398.65,600.0,131.73,47.16,4.3,28.22,79.54,500.0
74.96,113.97,186.31,22.75,2.87,35.98,54.86,162.34
114.63,185.75,164.2,16.62,7.37,27.84,60.31,178.62
361.13,525.22,113.32,33.27,4.53,24.79,94.64,417.67
360.02,555.82,131.41,93.99,9.89,23.93,49.93,449.14
320.57,368.55,179.68,34.3,0.55,10.93,66.16,356.11
346.97,443.46,79.9,98.81,3.55,21.74,47.39,373.49
271.36,367.23,65.36,48.52,4.82,44.16,49.46,323.34
125.9,180.13,2.16,17.92,5.03,40.57,72.17,191.65
172.85,195.66,165.31,89.11,3.16,21.53,90.34,226.75
90.8,108.78,160.2,46.04,7.29,30.57,60.68,172.13
454.23,587.66,20.89,70.97,8.75,39.66,77.63,488.96
291.7,519.24,115.37,98.37,9.39,25.44,26.69,407.04
200.43,266.96,92.8,5.02,8.05,10.63,35.84,245.99
231.0,332.05,23.74,9.67,8.51,12.61,57.66,277.44
473.64,586.02,196.11,72.05,5.51,27.86,21.5,483.12
76.68,117.13,42.94,28.18,8.26,43.93,38.96,167.4
293.11,380.02,13.45,18.43,3.04,34.26,58.81,339.07
252.94,314.89,118.97,3.94,3.98,12.48,21.12,300.49
305.73,446.85,147.77,2.18,3.17,16.63,39.84,341.48
9.06,10.0,6.49,77.45,4.67,37.0,58.55,100.31
436.06,482.01,131.74,13.44,2.86,39.45,62.99,456.19
466.06,584.13,106.46,46.77,9.62,31.62,89.43,492.03
282.57,318.09,20.65,60.59,3.13,32.55,68.4,333.41
348.33,409.5,34.5,42.84,0.98,10.99,51.11,376.19
461.25,600.0,113.59,2.71,5.27,39.0,89.78,500.0
353.62,587.65,59.27,78.35,0.57,37.59,78.87,488.06
76.27,114.44,187.66,1.05,1.11,19.07,35.0,155.12
288.14,420.36,163.75,76.19,2.19,34.8,29.81,330.21
303.36,396.02,196.71,89.33,4.64,17.52,70.69,348.12
212.07,371.59,51.93,43.28,4.33,11.41,61.99,260.82
368.22,507.38,193.94,53.55,8.0,17.04,79.23,397.38
467.18,542.38,86.25,47.7,7.39,16.25,75.41,478.49
462.78,600.0,69.5,38.92,4.26,21.82,66.89,500.0
225.42,265.92,10.07,88.74,3.34,24.65,93.98,284.68
56.62,75.96,10.55,89.39,3.16,27.8,60.02,157.98
492.42,600.0,138.4,33.58,7.74,26.69,28.48,497.77
419.45,600.0,91.59,61.51,0.52,19.47,82.12,500.0
62.33,90.1,45.3,92.69,0.13,11.02,38.89,153.06
460.42,600.0,122.79,96.21,7.96,31.18,78.3,500.0
434.95,600.0,50.57,50.9,4.77,23.85,91.78,500.0
259.42,309.24,115.53,45.28,1.31,20.45,72.26,312.86
295.64,382.06,71.84,27.87,2.36,40.34,64.7,343.81
199.5,274.55,164.71,95.89,9.33,36.14,54.53,252.07
27.38,38.2,164.14,14.28,8.6,40.02,47.33,111.77
167.6,232.58,95.47,57.98,7.1,27.32,46.48,214.87
401.43,600.0,70.16,28.26,4.82,14.58,67.73,500.0
2.32,3.71,72.51,27.9,5.2,34.37,76.35,73.51
166.75,254.38,161.14,40.5,9.75,17.21,70.89,217.17
199.08,262.11,65.64,99.88,9.66,25.44,34.88,250.26
268.7,450.51,41.81,5.5,2.15,12.28,57.05,330.64
459.93,600.0,16.94,57.85,8.11,38.89,79.37,500.0
173.17,290.04,93.34,8.26,1.97,14.41,55.68,219.97
173.48,191.01,96.43,15.45,2.14,41.61,60.25,226.43
368.75,569.9,168.18,43.96,6.76,40.25,77.84,472.74
226.11,256.81,44.25,51.05,4.05,26.26,69.59,279.2
112.3,143.78,76.2,25.88,9.32,36.05,50.7,185.89
226.22,258.27,161.68,31.65,0.89,31.68,87.16,281.81
70.43,107.24,164.72,8.7,5.12,38.11,32.19,163.51
88.19,139.4,76.92,30.32,9.19,25.11,94.66,173.71
249.18,294.07,91.82,96.66,9.04,37.5,28.91,301.22
209.46,286.69,60.66,94.47,1.57,26.19,21.12,255.91
457.42,600.0,186.51,33.49,3.67,42.93,86.75,500.0
181.2,246.13,23.73,57.09,6.19,27.02,38.37,232.84
290.29,343.92,186.75,90.96,1.59,26.19,74.73,339.42
316.13,440.46,136.77,0.62,9.68,37.48,80.83,360.13
6.55,10.64,106.31,81.07,9.15,38.76,84.42,108.58
331.77,381.44,6.53,94.84,1.67,29.41,94.37,374.36
89.02,102.92,95.12,9.13,1.21,16.29,42.05,160.73
480.54,600.0,81.55,16.14,0.85,26.37,73.27,498.98
74.33,130.76,32.24,96.07,9.09,43.88,28.65,163.13
207.31,325.07,131.28,53.75,1.94,36.35,50.51,259.09
42.67,67.22,194.23,1.42,4.16,38.39,83.6,125.55
498.44,600.0,112.44,25.76,4.49,11.15,47.57,497.84
251.1,380.55,142.95,44.99,5.99,26.38,64.33,304.54
297.69,329.57,13.69,69.29,0.72,32.63,57.78,338.53
33.54,51.83,83.53,73.32,2.27,39.05,68.45,103.26
374.98,600.0,23.27,99.54,9.31,11.72,92.97,500.0
104.95,160.45,122.56,28.75,9.08,39.84,24.18,179.23
449.03,600.0,187.7,53.82,7.81,29.19,63.05,500.0
102.57,164.81,132.36,53.33,0.19,16.91,84.73,178.17
95.34,112.92,15.36,40.56,3.27,21.1,56.1,172.28
18.27,31.65,70.93,16.92,6.28,19.87,25.89,62.05
236.03,270.61,110.13,97.75,2.75,28.58,62.04,286.18
282.42,416.23,80.64,85.33,9.1,11.81,44.91,323.49
32.85,39.41,166.73,49.83,6.34,15.55,31.62,112.81
387.76,429.72,162.93,60.32,0.72,38.44,83.68,414.34
226.64,316.27,122.37,22.73,9.09,14.64,59.12,277.81
262.2,342.57,74.69,54.38,9.58,18.17,90.0,313.3
220.38,317.39,51.07,69.5,0.78,25.87,80.45,272.98
200.38,301.38,21.17,51.52,5.32,28.1,71.97,253.72
279.82,316.37,70.98,99.03,3.03,36.73,20.38,322.2
77.62,92.07,82.63,61.13,3.93,25.66,52.09,161.66
90.96,135.63,135.16,37.1,1.8,37.65,34.81,165.43
430.89,577.49,131.63,77.22,5.78,31.64,88.31,478.61
473.06,600.0,14.02,17.05,9.58,13.96,33.09,495.45
186.65,290.55,79.05,38.45,5.03,15.47,41.45,233.26
